,Unnamed: 0,CustomerID,ProductID,Quantity,Price,TransactionDate,StoreLocation,ProductCategory,DiscountApplied(%),TotalAmount,MarketingPromotion
14,14,632732,D,6,45.47433964,20/05/2023,"5370 Nichols Fork Suite 983
Georgeshire, MT 20848",Books,10.57461814,243.9936112,Yes
15,15,798425,D,5,95.01176197,21/05/2023,"1573 Petty Parkway Apt. 835
Jordanmouth, IN 05999",Clothing,16.24839531,397.8693765,No
16,16,780621,B,2,19.91484964,22/05/2023,"419 Kerr Passage Apt. 443
Martinezfort, MN 45678",Clothing,14.46467762,34.06846168,No
17,17,633299,D,8,90.11467295,23/05/2023,"1250 Gary Way Apt. 756
South Thomasport, ND 39813",Clothing,15.17441385,611.5223964,Yes
18,18,271379,D,6,16.70799791,24/05/2023,"73061 Larry Pass Apt. 190
Fischerstad, PW 81056",Clothing,18.3335909,81.86893153,Yes
19,19,246231,B,2,47.31868527,25/05/2023,"103 Noah Court Apt. 298
South Caseymouth, FM 01144",Electronics,6.904600086,88.10303858,No
20,20,818911,B,5,77.09057502,26/05/2023,"44623 Elizabeth Throughway Apt. 440
Amberview, VA 51707",Books,19.25257426,311.2432741,No
21,21,35935,B,1,45.55602032,27/05/2023,"9990 Frank Views
Davisstad, MS 73745",Home Decor,18.39618315,37.17545138,No
22,22,274967,D,6,61.40081305,28/05/2023,"12858 Kidd Roads
Cantuberg, AR 21025",Books,15.43425899,311.5443153,Yes
23,23,175504,C,9,54.17017953,29/05/2023,"90868 Garcia Bypass Apt. 888
New Joshua, WY 53394",Books,11.00572372,433.8752331,Yes
24,24,589752,A,1,64.4179452,30/05/2023,"78412 Hernandez Lock Suite 138
South Lauren, PA 69595",Clothing,0.111047537,64.34641065,No
25,25,86522,B,3,25.38440527,31/05/2023,"5446 Brooke Row Apt. 988
West Mary, OH 86664",Clothing,15.14174264,64.62229185,No
26,26,609241,A,7,62.02823758,1/06/2023,"Unit 7268 Box 3644
DPO AP 43969",Clothing,18.38875557,354.3541161,Yes
27,27,869542,A,4,98.85379367,2/06/2023,"750 Alyssa Junctions Suite 666
Port Richard, NV 18166",Home Decor,8.930830423,360.101316,No
28,28,418277,A,9,27.45019354,3/06/2023,"71524 Margaret Dam
North Rhondaborough, VA 49112",Clothing,4.398935343,236.1840955,Yes
29,29,284956,B,3,16.02541232,4/06/2023,"942 Howell Island
Bowenfurt, NJ 02752",Home Decor,14.79229223,40.96465951,No
30,30,237711,D,5,45.26114439,5/06/2023,"44122 Jones Radial Suite 913
Scottshire, IN 05723",Books,12.03191072,199.0768195,No
31,31,47999,D,3,43.69259776,6/06/2023,"257 Martin Falls
Whitakerborough, SC 38376",Home Decor,19.97503164,104.8949626,No
32,32,43807,C,7,21.31634724,7/06/2023,"4565 Wright Land
North Daniel, IA 65963",Home Decor,3.594113899,143.8514941,Yes
33,33,628270,A,5,61.43280267,8/06/2023,"6472 Jones Courts Apt. 861
West Dawnport, KS 09150",Books,6.323547799,287.7403501,No
34,34,550741,D,9,49.3833028,9/06/2023,"4314 Thomas Walk
Daleshire, IL 52627",Clothing,17.0641798,368.608025,Yes
35,35,101274,D,7,85.31977157,10/06/2023,"70323 Stacey Underpass Suite 300
Bishopberg, IL 77977",Books,13.2077957,518.3563731,Yes
36,36,140471,B,2,48.06615492,11/06/2023,"21894 Raymond Ports
North Gabriela, WA 85466",Electronics,16.51721833,80.25392634,No
37,37,635224,B,4,98.70968076,12/06/2023,"13996 Peter Mountain Apt. 674
Craigport, FM 62580",Books,13.84911501,340.1570542,No
38,38,2398,C,9,80.18639604,13/06/2023,"49823 Robin Rue
Leonardchester, VT 82863",Electronics,4.456275585,689.5176233,Yes
39,39,857878,C,2,53.87055008,14/06/2023,"265 Williams Passage
North Andrew, GU 20893",Books,12.07332915,94.73316251,No
40,40,939765,B,9,59.69753447,15/06/2023,"763 Castro Greens Suite 106
Lake Katrina, OK 64411",Books,18.77811951,436.3871409,Yes
41,41,11882,D,5,88.00755476,16/06/2023,"711 Megan Garden Apt. 572
Nathanview, ND 02023",Electronics,13.07468591,382.504217,No
42,42,147124,C,2,79.67386347,17/06/2023,"USNS David
FPO AE 12953",Clothing,12.91378242,138.7699082,No
43,43,895908,B,4,69.19620564,18/06/2023,"53378 Lauren Union Suite 356
Mullinsborough, MP 94292",Electronics,16.51074194,231.0855948,No
44,44,589251,A,7,34.01289338,19/06/2023,"991 Dennis Overpass Suite 417
South Julie, VA 10018",Clothing,14.11085151,204.4936915,Yes
45,45,608105,B,8,46.93122876,20/06/2023,"55336 Meagan Loaf
Martinstad, NH 88472",Home Decor,16.11718005,314.9379049,Yes
46,46,800568,D,3,80.84663037,21/06/2023,"6238 Scott Fork Suite 235
North Andrewmouth, MD 44878",Electronics,5.868724608,228.3058928,No
47,47,985370,A,1,66.47187502,22/06/2023,"602 Smith Plains
Port Jacquelinechester, DC 13268",Electronics,10.5145845,59.48263356,No
48,48,240172,B,4,96.08493944,23/06/2023,"8369 Gentry Tunnel Suite 510
East Edwardstad, RI 25668",Clothing,17.4431825,317.2986724,No
49,49,232632,D,2,88.55958357,24/06/2023,"3811 William Station Suite 818
Garciafort, OH 36967",Home Decor,12.84060049,154.3760025,No
50,50,138129,B,8,48.43840968,25/06/2023,"2059 Moore Station
Clarkehaven, WI 88632",Clothing,6.596179738,361.9466009,Yes
51,51,201514,B,4,36.44356796,26/06/2023,"0894 Leonard Cliff
North Ellenstad, MN 82818",Books,5.640954187,137.5512119,No
52,52,143001,A,2,21.16617709,27/06/2023,"31207 Johnson Crest
Georgeland, WV 31249",Home Decor,15.30872409,35.85181088,No
53,53,391352,D,6,46.6865179,28/06/2023,"5091 Sullivan Mountains
Joshuaside, FM 03816",Home Decor,13.83077927,241.376452,Yes
54,54,94047,A,6,30.40141062,29/06/2023,"9919 Smith Island Apt. 355
Peterview, OK 37147",Electronics,9.811217151,164.5119732,Yes
55,55,182358,C,4,11.50353148,30/06/2023,"00172 Tamara Lake
Woodsville, TX 24419",Books,3.970779906,44.18700627,No
56,56,91439,D,6,22.43927871,1/07/2023,"18886 Kara Brooks Apt. 597
East Kellyfort, WV 95330",Electronics,5.872273942,126.7294968,Yes
57,57,370994,D,2,50.77103606,2/07/2023,"728 Richard Flats
Janeport, WV 96023",Clothing,17.63195806,83.63821655,No
58,58,194267,C,2,90.31749132,3/07/2023,"46843 Christina Points Apt. 345
Snyderhaven, ME 39116",Clothing,6.837288023,168.2844486,No
59,59,597183,D,4,38.88635212,4/07/2023,"60674 Robles Overpass
Jonfort, DC 58160",Clothing,10.30417712,139.5177341,No
60,60,173860,D,8,49.70081448,5/07/2023,"91529 Cody Mills Suite 147
Churchmouth, FL 72882",Clothing,6.426451838,372.0545246,Yes
61,61,667324,A,7,44.56655375,6/07/2023,"1347 Chang Rue Suite 808
Kennethmouth, AL 49384",Electronics,15.72327504,262.9146235,Yes
62,62,74054,A,9,43.20773421,7/07/2023,"454 Mendoza Springs Suite 108
Davidtown, FL 92203",Home Decor,3.940537885,373.5460537,Yes
63,63,766020,B,8,75.03749694,8/07/2023,"68293 Ryan Station
Martinchester, OH 22553",Home Decor,16.61582338,500.5551919,Yes
64,64,301389,A,5,55.54281545,9/07/2023,"15068 Regina Isle
Ariasshire, AZ 83493",Electronics,9.025839192,252.6480512,No
65,65,604511,D,2,46.75985559,10/07/2023,"56928 Patricia Mountains
West Andrea, OH 00781",Books,8.785967794,85.30309947,No
66,66,107408,D,5,94.89902096,11/07/2023,"67679 Chen Rapids Apt. 359
Williamchester, AS 53803",Books,18.44927581,386.9541942,No
67,67,62783,C,8,34.86587311,12/07/2023,"98846 Joe Hills Suite 859
Nelsonside, MS 19302",Electronics,4.863213028,265.3621714,Yes
68,68,937640,C,9,84.95648436,13/07/2023,"55894 Linda Courts Apt. 063
Stevenbury, MA 20451",Home Decor,15.53718329,645.809757,Yes
69,69,116855,B,9,56.35052523,14/07/2023,"6918 Ashley Walks
West Jean, MN 95503",Electronics,19.3004819,409.2714208,Yes
70,70,775212,D,1,49.7519958,15/07/2023,"005 Faulkner Walk
Matthewhaven, NC 85743",Books,19.15562133,40.22169188,No
71,71,624973,D,9,15.66692134,16/07/2023,"47515 Grimes Grove Apt. 919
East James, GA 19407",Electronics,14.96717317,119.8982348,Yes
72,72,210377,A,7,87.26431386,17/07/2023,"Unit 4486 Box 3431
DPO AE 41617",Books,5.36747935,578.0629389,Yes
73,73,73098,C,9,34.35962323,18/07/2023,"696 Cruz Highway Suite 922
Amberview, MN 52354",Electronics,17.90654433,253.8630186,Yes
74,74,600510,B,8,71.14204196,19/07/2023,"28132 Wolfe Bypass
West Russellberg, MI 13911",Electronics,8.220374972,522.3511948,Yes
75,75,120603,A,1,88.70304269,20/07/2023,"04736 Nicholas Islands Suite 795
Jamesland, IN 70189",Clothing,7.700165198,81.87276186,No
76,76,449129,B,8,58.25233549,21/07/2023,"3011 Smith Island Suite 451
East Philliphaven, WY 63813",Clothing,7.809105877,429.6267915,Yes
77,77,300948,B,8,67.66009434,22/07/2023,"67274 Mendez Curve
Hawkinsfurt, NY 02451",Home Decor,1.213184505,534.7140205,Yes
78,78,268031,C,3,40.61638711,23/07/2023,"172 Christopher Route
North Christyside, MO 24531",Electronics,7.121015695,113.1722634,No
79,79,70530,C,1,75.38851452,24/07/2023,"PSC 8454, Box 4823
APO AE 17356",Books,18.43627657,61.48967949,No
80,80,54429,D,8,69.09431329,25/07/2023,"5933 Roberts Wall Apt. 225
South Dannyborough, WA 41280",Home Decor,5.371900825,523.0610825,Yes
81,81,120177,D,3,50.03074725,26/07/2023,"42485 Kristina Walks
Catherinemouth, CT 93272",Electronics,6.031257077,141.0397928,No
82,82,853797,D,3,67.11419404,27/07/2023,"904 Elizabeth Gardens Suite 981
New Isaiah, PR 39559",Books,15.50945109,170.1154528,No
83,83,127138,D,1,33.63936661,28/07/2023,"008 Knight Pines
Myersberg, FM 97841",Home Decor,1.244171467,33.22083521,No
84,84,472995,B,5,69.2038385,29/07/2023,"Unit 5493 Box 4915
DPO AE 46180",Books,16.49585071,288.9403831,No
85,85,493821,A,7,70.54673544,30/07/2023,"280 Grant Junctions Apt. 423
Crosbyfort, NV 96865",Electronics,17.13967728,409.1867686,Yes
86,86,571728,A,9,50.03989495,31/07/2023,"4918 Benson Springs Apt. 545
Bakerville, AS 80512",Books,2.865302125,437.454907,Yes
87,87,509745,C,7,32.44361216,1/08/2023,"Unit 4248 Box 3478
DPO AP 26267",Books,4.70639588,216.4168113,Yes
88,88,229231,B,9,82.27593684,2/08/2023,"501 Wright Junction
Port William, DE 66411",Home Decor,14.37946628,634.0058662,Yes
89,89,268207,D,8,77.87144604,3/08/2023,"469 Walker Forks Apt. 596
Danielburgh, OH 96428",Clothing,9.412914394,564.3317879,Yes
90,90,727748,B,2,15.13826686,4/08/2023,"27719 Johnson Land Suite 271
Lake Rachel, MS 25472",Electronics,6.271852121,28.37763431,No
91,91,216500,A,1,54.48413965,5/08/2023,"616 Edwards Walk Suite 451
North Thomasmouth, TN 07097",Books,7.935460701,50.16057216,No
92,92,892466,C,7,18.28998616,6/08/2023,"96496 Patrick Islands
Lake Nicole, IN 92062",Home Decor,15.52832487,108.1490038,Yes
93,93,867913,D,7,38.76064825,7/08/2023,"81215 Drake Centers
South Ashleyhaven, IL 05545",Clothing,2.444920689,264.690868,Yes
94,94,199367,A,8,48.00152337,8/08/2023,"2959 Heather Orchard
North Rebecca, MT 87449",Books,15.65384587,323.8995111,Yes
95,95,496177,A,5,25.91976008,9/08/2023,"7455 Pena Cape
Tiffanystad, ME 78027",Electronics,5.391257854,122.6117949,No
96,96,497860,B,3,52.20121515,10/08/2023,"20633 Jeremiah Trace
North Jose, VT 92231",Home Decor,15.40578351,132.4776269,No
97,97,487175,D,8,73.55990778,11/08/2023,"98751 Isaac Court Apt. 812
East Tracy, IL 95098",Clothing,19.08665624,476.1582484,Yes
98,98,573789,B,6,49.32689403,12/08/2023,"269 Gonzales Prairie
Anthonyburgh, ID 16216",Books,18.67648085,240.6861967,Yes
99,99,63925,B,3,31.07258121,13/08/2023,"065 Nancy Gateway Suite 237
Port Marcus, AL 04964",Electronics,19.7587519,74.79908093,No
100,100,87781,C,1,47.33364372,14/08/2023,"90846 Fuller Burgs
Hendersontown, VT 91293",Books,4.362300725,45.26880784,No
101,101,350384,A,3,63.31661184,15/08/2023,"319 Cory Park
Dukeland, RI 05923",Electronics,19.41658202,153.0680699,No
102,102,829031,D,5,94.27530854,16/08/2023,"2155 Hartman Turnpike Apt. 632
Charlestown, MO 76093",Electronics,3.902613929,452.9805361,No
103,103,211409,C,3,54.95003129,17/08/2023,"PSC 4308, Box 2125
APO AE 53765",Clothing,0.980459509,163.2338054,No
104,104,13104,D,1,89.90766963,18/08/2023,"85150 Harris Garden
Rodriguezville, NY 80407",Clothing,3.435628997,86.81877567,No
105,105,113126,B,5,98.61003733,19/08/2023,"373 Wagner Extensions
Port Heidi, IN 15041",Electronics,0.433074844,490.9149103,No
106,106,954635,C,7,60.3116587,20/08/2023,"344 Sutton Plains Apt. 541
Tammyport, LA 57073",Electronics,0.110103223,421.7167753,Yes
107,107,123054,A,7,23.23620157,21/08/2023,"407 Klein Club Apt. 003
Davistown, AS 09777",Books,12.08886147,142.9904655,Yes
108,108,142499,B,9,88.77816489,22/08/2023,"409 Hampton Hill
Lake Gail, MA 03704",Electronics,0.888264045,791.9062233,Yes
109,109,965904,D,3,87.61206739,23/08/2023,"86293 Nancy Radial
South Jamesview, FM 65253",Electronics,5.854469012,247.4485382,No
110,110,282062,D,7,88.17045193,24/08/2023,"85502 Colleen Fields Suite 061
Johnsonside, MD 12669",Books,9.014604013,561.5556438,Yes
111,111,477717,D,1,95.54941634,25/08/2023,"62861 Cruz Wall Suite 673
North Teresabury, AS 87155",Electronics,4.447918859,91.29945583,No
112,112,425222,D,4,34.87919125,26/08/2023,"785 Gomez Knoll
Jeffreyport, VT 46521",Home Decor,19.06080968,112.9237399,No
113,113,649944,C,4,40.00875001,27/08/2023,"60384 Mark Divide
Port Hannahfurt, NM 16259",Books,6.147555635,150.1967594,No
114,114,235323,B,5,71.83872922,28/08/2023,"77571 Aguilar Crescent
New Timside, TN 43984",Home Decor,0.462871045,357.5310427,No
115,115,397000,B,7,60.7513013,29/08/2023,"494 Lopez Spring
Debrafort, DC 31407",Clothing,8.037027267,391.0809185,Yes
116,116,986917,D,7,88.15321933,30/08/2023,"17681 Patterson Brook
West Curtisborough, FM 27507",Home Decor,2.265975151,603.089825,Yes
117,117,391278,C,4,32.90556652,31/08/2023,"274 Clinton Row
South Lisa, GU 59454",Clothing,17.0030783,109.2424291,No
118,118,945683,A,7,69.25684863,1/09/2023,"21205 Matthew Coves Apt. 355
Lake Graceton, WA 89273",Electronics,10.70596275,432.8956535,Yes
119,119,999329,D,3,94.63688687,2/09/2023,"88318 Jeffrey Harbor
Aliciafort, ME 52389",Books,1.830624263,278.7133232,No
120,120,934277,A,6,29.42846622,3/09/2023,"841 Jennifer Lodge Suite 593
West Amandabury, NM 27811",Clothing,7.311670811,163.6605219,Yes
121,121,174338,D,2,37.61916743,4/09/2023,"22794 James Fort Suite 378
East Victoria, AZ 38497",Clothing,7.448973926,69.63385092,No
122,122,545912,A,9,46.66759982,5/09/2023,"957 John Grove Suite 224
Carrollfurt, MA 25724",Home Decor,15.36549112,355.4720453,Yes
123,123,88220,A,5,17.8385125,6/09/2023,"92480 Kelsey Club Apt. 792
North Danabury, NV 52001",Books,19.4253636,71.86658291,No
124,124,173080,C,6,25.91827387,7/09/2023,"3346 Hunt Vista
West Michaelside, HI 52847",Home Decor,6.190253151,145.8832026,Yes
125,125,400897,D,4,44.38842668,8/09/2023,"235 Logan Road
Port Marcusport, WY 03455",Electronics,4.343152928,169.8422777,No
126,126,636398,C,7,16.69540414,9/09/2023,"PSC 3555, Box 8474
APO AA 67962",Home Decor,14.88628199,99.4705544,Yes
127,127,638748,A,9,42.63801915,10/09/2023,"490 Young Fields
Smallberg, MT 45964",Electronics,10.24981199,344.4093212,Yes
128,128,597048,D,7,31.97276084,11/09/2023,"780 Kristi Creek
West Hannahberg, MS 83311",Books,14.73131551,190.8392679,Yes
129,129,472957,B,1,87.80595497,12/09/2023,"14566 Alyssa Court Suite 449
Melindafort, FM 88989",Home Decor,1.069206714,86.86712781,No
130,130,84596,D,1,64.76441874,13/09/2023,"5501 Harold Spurs Apt. 087
East Tracyport, UT 09987",Home Decor,19.9400979,51.85033024,No
131,131,562014,A,9,90.86410263,14/09/2023,"68754 James Branch Apt. 009
Alexisville, NE 90702",Books,9.685291703,738.5728431,Yes
132,132,469434,B,9,28.25982796,15/09/2023,"4321 Susan Valleys
West Benjamin, ID 64991",Electronics,16.69877986,211.8670335,Yes
133,133,252922,A,4,17.34917877,16/09/2023,"Unit 1535 Box 5709
DPO AP 57706",Clothing,3.582091919,66.91086094,No
134,134,977032,A,9,41.86424795,17/09/2023,"96028 Eddie Estate
Mitchellville, NE 77272",Clothing,3.135656986,364.9637586,Yes
135,135,745071,C,3,15.07826861,18/09/2023,"080 Thomas Route Suite 101
South Jamesmouth, WA 54676",Home Decor,7.175804257,41.9888447,No
136,136,638578,D,7,89.51626496,19/09/2023,"4048 David Islands Apt. 534
Daviston, AZ 16773",Books,4.85644891,596.182673,Yes
137,137,254206,A,6,26.93368276,20/09/2023,"3530 Ellis Avenue
Port Tracy, ME 79036",Electronics,3.244001859,156.3597216,Yes
138,138,937354,A,8,22.69652511,21/09/2023,"50572 Steven Square Apt. 432
Thomasstad, GU 29278",Home Decor,1.904333216,178.1144611,Yes
139,139,758832,B,9,80.90037402,22/09/2023,"248 Cochran Village
West Dianaland, TX 12916",Home Decor,2.095020551,712.8494511,Yes
140,140,889978,D,5,74.11664449,23/09/2023,"8906 Williams Prairie Apt. 061
Nicolemouth, KS 94341",Electronics,3.302831309,358.3434838,No
141,141,381440,B,1,15.12604253,24/09/2023,"505 Dennis Courts
North Christopherburgh, DE 62352",Books,2.023900944,14.81990641,No
142,142,330581,D,3,55.86087198,25/09/2023,"30842 Simon Mountains
New Davidbury, KS 13404",Home Decor,11.0954571,148.9885587,No
143,143,630099,D,8,50.39649003,26/09/2023,"031 Khan Parkway Apt. 597
North Tanyaland, OR 29820",Books,16.96378135,334.7787172,Yes
144,144,933612,A,6,44.8171824,27/09/2023,"271 Cooper Haven
Anthonystad, OH 91347",Clothing,17.09178318,222.9427605,Yes
145,145,402432,D,8,21.40301423,28/09/2023,"68018 Griffin Square
North Michaelborough, MP 69490",Electronics,18.96759544,138.7470166,Yes
146,146,517772,A,9,80.86168186,29/09/2023,"03368 Ashley Divide
Gailport, WV 40464",Clothing,8.312041384,667.2638286,Yes
147,147,35839,B,4,31.59602153,30/09/2023,"7700 Anthony Manors Apt. 103
Powellborough, MO 60997",Electronics,16.37203738,105.6924363,No
148,148,225733,D,1,51.24117781,1/10/2023,"019 Marvin Cape
Terrifurt, MA 99203",Home Decor,14.22218199,43.95356425,No
149,149,776979,A,1,89.29578752,2/10/2023,"758 Ashley Ports Suite 163
West Mary, RI 71233",Clothing,18.37811716,72.88490307,No
150,150,221937,A,4,38.64182086,3/10/2023,"9425 Brandon Oval Suite 482
Crystalberg, MI 21625",Clothing,12.22981448,135.6639914,No
151,151,175416,D,7,13.21589879,4/10/2023,"00330 Bates Valleys Suite 357
Bryanttown, IL 67826",Books,3.891313774,88.91138691,Yes
152,152,646696,D,2,90.02191983,5/10/2023,"530 Anderson Drive
South Phillipfort, WV 81658",Books,16.26285021,150.7635797,No
153,153,688072,C,3,54.45015887,6/10/2023,"167 Jason Course Apt. 531
West Paula, ID 11466",Electronics,3.863419042,157.0395632,No
154,154,916513,D,1,54.73566233,7/10/2023,"459 Sutton Mountains Suite 451
Bernardport, WI 12076",Home Decor,8.686718668,49.98092933,No
155,155,538692,D,5,59.62741773,8/10/2023,"09098 Morton Trafficway
North Loretta, AZ 89521",Books,14.21054906,255.7701714,No
156,156,172943,A,1,26.19405865,9/10/2023,"Unit 9800 Box 8766
DPO AE 93292",Electronics,17.69561007,21.55886017,No
157,157,481676,D,8,74.33975096,10/10/2023,"125 Vasquez Cove
Lake Megan, OR 45416",Clothing,5.661595281,561.047481,Yes
158,158,214608,A,1,30.82432032,11/10/2023,"636 Vega Inlet Suite 700
North Stevenview, CT 71706",Home Decor,3.030331887,29.89024111,No
159,159,590942,A,1,37.10333556,12/10/2023,"9412 Saunders Terrace Apt. 183
Harrisfort, OK 19012",Books,12.30596026,32.53741383,No
160,160,108361,C,2,66.80700831,13/10/2023,"87005 Smith Harbors Suite 391
Hartchester, WA 85942",Home Decor,7.796451484,123.1968646,No
161,161,116067,B,2,77.47805803,14/10/2023,"30226 Nina Extension Suite 568
New Jacobport, AL 11051",Books,12.90030588,134.9663031,No
162,162,420390,A,6,75.75551913,15/10/2023,"84808 Heather Drives
Everetthaven, TN 48694",Clothing,16.91507631,377.6484916,Yes
163,163,218306,C,7,17.48344175,16/10/2023,"73076 Sweeney Pines
Mccarthyborough, KS 56018",Electronics,9.863590182,110.3126269,Yes
164,164,908160,B,5,77.911939,17/10/2023,"31900 Stewart Parkway Apt. 859
Jamesshire, VA 79536",Electronics,1.616726685,383.2615795,No
165,165,16642,A,1,69.64528917,18/10/2023,"2694 Terrance Spurs Apt. 300
Sheilafort, NH 73334",Electronics,18.64104368,56.66268039,No
166,166,147851,C,1,64.45863786,19/10/2023,"9442 Gray Rapids Apt. 456
West Angelaton, NJ 04734",Clothing,5.865678005,60.67770172,No
167,167,714511,A,3,97.01868272,20/10/2023,"375 Audrey Isle Apt. 650
Gibsonmouth, NC 15026",Electronics,19.43676051,234.4841811,No
168,168,143779,A,2,41.2143105,21/10/2023,"8659 Clay Street Apt. 193
Christineshire, FM 97293",Books,16.84075858,68.54701594,No
169,169,491768,B,5,71.47775954,22/10/2023,"PSC 9458, Box 9421
APO AA 84039",Home Decor,6.461854636,334.2948531,No
170,170,390190,A,6,61.59105202,23/10/2023,"581 Charlotte Land
Lake Jasonhaven, ME 77590",Home Decor,8.409567919,338.469064,Yes
171,171,718553,B,7,44.91639388,24/10/2023,"4023 Jennifer Prairie Apt. 711
Rodriguezshire, NH 07463",Books,1.527390592,309.6124157,Yes
172,172,490125,C,4,80.9415652,25/10/2023,"9562 Peter Mill
Whitakermouth, PR 71963",Books,15.66106217,273.0610254,No
173,173,11452,B,7,46.2832959,26/10/2023,"0585 Tiffany Square
Staceyborough, WA 20704",Electronics,6.220360362,303.8301567,Yes
174,174,98927,C,8,60.27001303,27/10/2023,"20309 Clark Inlet Suite 305
South Juliaborough, SC 66330",Electronics,3.409486253,465.7209218,Yes
175,175,23830,C,1,60.45645023,28/10/2023,"610 Martinez Points Suite 875
Morrisview, KY 61533",Books,16.25173685,50.63122703,No
176,176,322347,A,6,56.01948781,29/10/2023,"505 Haynes Stream Suite 207
East Natalie, AR 71209",Home Decor,16.89058253,279.3448199,Yes
177,177,99487,D,8,51.16619973,30/10/2023,"7089 Marshall Cliff Apt. 323
New Wendymouth, CT 55710",Books,7.345053301,379.2641207,Yes
178,178,174752,B,5,25.10012015,31/10/2023,"1196 Corey Bypass Suite 715
Sosaville, MN 09737",Clothing,5.137626912,119.0528481,No
179,179,150760,B,4,31.67611866,1/11/2023,"0522 Peters Branch
North Brandonville, CT 86024",Books,13.14385457,110.0506228,No
180,180,300755,C,2,21.11526402,2/11/2023,"385 Jamie Extensions
Lake Crystal, ME 45133",Books,5.863023355,39.75454231,No
181,181,318978,B,6,75.11420555,3/11/2023,"8238 Cristian Course Suite 182
Port Gregory, NC 86391",Home Decor,10.17715166,404.8183136,Yes
182,182,447037,D,6,76.98651829,4/11/2023,"06505 Park Mews Suite 258
Vasquezton, MN 05747",Electronics,12.84973774,402.5637156,Yes
183,183,494205,D,1,67.46760751,5/11/2023,"88341 Hammond Vista Suite 966
East Michelleborough, MI 91511",Electronics,12.35020318,59.13522091,No
184,184,375520,D,9,92.58788273,6/11/2023,"731 Steven Spring
Fullerhaven, MS 22618",Books,13.99231235,716.6942728,Yes
185,185,550537,C,6,33.84677181,7/11/2023,"7636 Matthew Corners
Marshallbury, IN 29188",Electronics,7.306948304,188.2416342,Yes
186,186,372905,C,3,83.89215147,8/11/2023,"35098 Ritter View
North Davidtown, WV 13685",Home Decor,10.78425766,224.5350171,No
187,187,116842,D,4,26.72503098,9/11/2023,"667 Jamie Estate
North Vincentfort, NM 03983",Clothing,3.165920033,103.5157515,No
188,188,314341,B,4,16.10403928,10/11/2023,"98727 Jason Shores Suite 155
Williamsmouth, AS 63873",Books,3.460433204,62.18707901,No
189,189,342790,D,3,10.01159423,11/11/2023,"04543 Breanna River Suite 442
East Antonio, HI 08553",Home Decor,11.5985811,26.55117405,No
190,190,16227,D,3,62.25700278,12/11/2023,"578 Gabriela Hollow
Port Krystalville, CA 78917",Clothing,5.716587123,176.0940809,No
191,191,706934,A,3,80.08662747,13/11/2023,"982 Sharp Course Apt. 107
Charlesberg, PR 83735",Books,0.024677125,240.2005932,No
192,192,146849,D,4,84.06877407,14/11/2023,"40336 Zachary Squares Suite 465
Bethanymouth, HI 03569",Books,16.117158,282.0771077,No
193,193,139063,A,7,52.35890696,15/11/2023,"125 Decker Lake Apt. 111
Lake Hunter, DE 65050",Clothing,3.151064542,354.9633081,Yes
194,194,289399,C,4,15.28484618,16/11/2023,"675 Atkins Centers
West Eddie, KS 42906",Electronics,11.09089939,54.35847706,No
195,195,108890,A,9,13.2186124,17/11/2023,"3484 Sara Glen
South Marcusland, UT 69551",Clothing,8.86460362,108.4215133,Yes
196,196,92407,D,1,92.56164203,18/11/2023,"6421 Suzanne Summit Apt. 895
Smithshire, SC 08947",Home Decor,3.726203528,89.11260686,No
