Region,Sales,Revenue,Month,Year,Advertising_Expenditure,Product_Category,Marketing_Campaign
East,1030,4198,May,2022,1282.8626711806082,Category_3,Before
North,1583,2278,April,2022,6727.6937013740235,Category_1,After
North,1690,1694,April,2023,3829.20382968694,Category_1,After
South,1725,4087,September,2022,5577.136220482325,Category_3,Before
West,1356,3524,November,2022,9168.098265334836,Category_2,Before
West,645,2085,August,2022,3243.6300623398747,Category_3,Before
East,1414,3928,June,2022,4693.446307320668,Category_1,Before
East,1492,3479,January,2023,7799.960246887438,Category_3,After
East,1962,2693,February,2022,3059.183489424602,Category_1,After
South,741,3315,June,2023,1692.819188459137,Category_3,Before
West,1080,2058,November,2022,3607.7630762239123,Category_3,Before
North,1186,1778,February,2023,2450.9915852860395,Category_2,Before
South,982,4647,October,2023,9367.278871083157,Category_1,Before
North,1631,1493,May,2022,8273.083416079753,Category_2,Before
North,1749,2585,May,2022,6700.633808593811,Category_1,Before
South,1172,2492,June,2023,8843.145311689459,Category_3,After
North,1130,2790,June,2023,8233.04869209203,Category_1,After
West,1160,1660,June,2022,2679.1305299743226,Category_2,After
North,1161,2348,February,2023,9033.0309864098,Category_2,Before
West,1955,2327,October,2023,5854.080177240857,Category_2,Before
West,1304,2299,March,2023,8266.961396476563,Category_1,Before
West,918,4940,June,2022,9064.82169931144,Category_2,After
East,1487,2986,August,2023,3862.0312747467747,Category_2,Before
North,1978,4755,December,2023,1990.467320749091,Category_2,Before
South,1683,4060,November,2023,3051.416462877475,Category_3,After
South,1149,3044,December,2022,4843.970097636307,Category_3,Before
North,1468,4272,January,2022,8362.132893302438,Category_1,After
East,1089,4516,January,2023,8746.57524930709,Category_1,After
East,1600,2928,November,2022,1062.5691747807164,Category_2,Before
West,1008,2347,February,2023,5596.725723198091,Category_3,After
North,940,2058,November,2022,4756.699028339011,Category_2,Before
North,1777,1976,December,2022,2998.970294236572,Category_2,After
South,1420,1481,December,2023,2078.7883060031454,Category_3,Before
North,1269,1727,June,2022,4038.5365426326516,Category_3,After
East,1843,3527,September,2022,9486.187335212673,Category_3,Before
North,762,4136,April,2022,3908.826388186797,Category_1,After
South,1897,2031,March,2023,5669.115595690295,Category_1,After
West,1136,4372,December,2022,7327.1706300566,Category_2,After
South,1690,1342,August,2022,4272.666421413645,Category_1,Before
South,958,4502,November,2023,9746.038744488646,Category_3,Before
West,1498,2447,October,2022,9662.025654479,Category_3,After
South,1803,3379,September,2022,3266.0406624282773,Category_1,Before
South,1199,3485,December,2022,5475.236553031469,Category_2,After
North,801,4659,November,2022,3707.904788350927,Category_2,Before
North,1741,3221,May,2022,3563.5644493972086,Category_1,After
West,1625,3606,September,2023,1331.9825261907952,Category_2,Before
North,1053,1526,February,2023,6486.079005819071,Category_2,After
North,787,2896,March,2022,5524.1112090597535,Category_2,After
South,1690,1658,July,2022,1463.3087612499041,Category_3,After
East,1120,3073,July,2022,3507.818178129503,Category_3,After
North,1505,1819,June,2023,9174.392973699883,Category_1,Before
East,535,3652,June,2023,3156.057016002752,Category_3,After
North,1243,1405,February,2022,2304.0538488210077,Category_2,Before
North,852,3279,October,2022,5405.0748424980675,Category_3,Before
West,572,3580,June,2023,9870.854086995407,Category_1,After
West,1147,4890,April,2022,3178.4974436035036,Category_3,Before
West,1876,2573,December,2023,7049.219926652907,Category_2,Before
East,1593,2811,March,2023,7854.576537958458,Category_2,Before
South,924,1504,November,2022,3138.737895931597,Category_1,After
North,1498,4740,February,2023,7553.947137506736,Category_3,Before
North,1207,1178,January,2022,4310.048194473279,Category_3,Before
North,1060,1131,November,2022,6690.752475342215,Category_3,After
East,1327,2846,November,2022,6701.767396848052,Category_2,After
West,1455,2478,May,2022,5821.972156672827,Category_1,Before
South,1016,3395,February,2022,1812.6079304896748,Category_3,After
East,927,3587,February,2022,8517.722460303143,Category_2,Before
West,659,1771,July,2023,3887.0205847456227,Category_2,Before
East,648,2429,August,2023,2678.666593598688,Category_2,Before
South,1275,3123,October,2023,1366.9762739928751,Category_3,After
West,1753,1578,August,2023,6318.036488694176,Category_3,Before
East,566,3901,April,2022,7098.079256580541,Category_3,After
South,1513,2515,January,2023,1149.2904603507054,Category_3,After
North,880,1193,November,2023,5608.837524693528,Category_3,Before
South,557,3007,July,2023,3038.4619767814415,Category_3,After
North,1782,2185,January,2022,6806.555113685049,Category_3,After
East,841,3394,November,2023,2569.2978610449227,Category_3,After
West,1653,3998,April,2022,7218.439642922193,Category_3,After
West,1226,2384,August,2023,4480.618116704836,Category_2,After
East,1695,2792,February,2022,9430.56989863061,Category_3,Before
West,1269,4655,June,2022,2237.6884973139395,Category_1,After
West,1113,2110,June,2023,4069.5971594523267,Category_2,Before
North,1732,4333,December,2022,2021.2616911653017,Category_3,Before
East,853,3261,September,2022,9322.242564507065,Category_1,Before
South,1994,4736,May,2023,8896.05418042883,Category_3,Before
North,615,4793,October,2023,3321.4746494364003,Category_1,Before
East,1787,2936,April,2023,6939.856414307611,Category_1,Before
North,1161,3620,May,2022,8354.999801810944,Category_1,After
South,1965,1779,December,2022,5996.807304395161,Category_1,After
South,952,1261,December,2022,5766.855205204059,Category_2,After
East,786,1729,October,2023,3176.670618104065,Category_2,Before
South,1826,1282,November,2022,1837.924910253093,Category_1,After
North,1516,4719,May,2022,9074.941821579941,Category_3,After
South,810,2490,August,2022,9103.762514469974,Category_1,After
North,707,4451,October,2022,6697.9131154594115,Category_2,Before
North,1117,1361,December,2022,4051.2681194383063,Category_3,After
South,945,4520,August,2022,4142.886171513948,Category_2,Before
East,1169,1440,February,2022,7533.601109832154,Category_2,After
West,1132,3140,July,2023,9073.992339573193,Category_3,Before
South,554,2644,August,2023,8983.777818386056,Category_1,Before
North,1411,3800,November,2023,8018.879912718615,Category_1,Before
North,1535,1866,June,2022,6778.28481538859,Category_1,After
South,1156,2447,May,2022,1757.2596849554395,Category_1,After
East,1923,1141,November,2023,2454.658426851524,Category_3,Before
East,1479,2314,September,2022,9086.987696743712,Category_3,After
North,1014,2455,March,2023,6457.86153693631,Category_3,Before
North,736,3796,December,2022,1082.7734645496669,Category_2,Before
East,1802,2875,October,2022,1913.2438857942889,Category_3,After
West,847,2847,April,2023,6971.515921972502,Category_1,After
South,1126,2712,September,2023,1045.5542546159681,Category_2,After
North,1627,3700,June,2023,2447.272462757488,Category_1,Before
North,1129,1700,August,2023,5938.604104299275,Category_1,Before
East,1771,1997,July,2023,7227.056779234239,Category_3,After
South,863,3096,November,2022,6867.651335523405,Category_3,Before
East,820,2325,February,2022,3018.423785145038,Category_1,After
South,785,1880,March,2022,7409.6129921278225,Category_1,Before
South,648,2213,January,2023,3135.2417874712005,Category_2,After
South,1607,2159,September,2023,3928.5972834334093,Category_3,After
North,905,1554,July,2023,7718.422646062218,Category_2,Before
West,1477,1403,January,2023,6846.696091424932,Category_2,After
East,955,1891,March,2023,8643.010694447601,Category_2,After
West,1299,3912,April,2023,6918.51603070309,Category_1,Before
East,1684,1601,April,2022,6114.777430019245,Category_2,After
South,1512,2830,May,2022,1843.0729104528323,Category_2,Before
North,1283,1340,March,2022,4309.442227534902,Category_1,After
West,959,4828,March,2022,3386.821309135529,Category_3,Before
North,1237,2968,January,2022,3195.9067904117524,Category_3,After
East,1008,1703,July,2023,9757.09499277201,Category_2,After
North,980,1317,November,2023,4537.879522000843,Category_1,After
North,613,3665,October,2023,9028.41899659402,Category_3,After
West,1248,2386,January,2023,6680.247633975366,Category_2,Before
South,860,4893,February,2023,8153.301731874836,Category_2,Before
North,840,3429,April,2023,5523.733837946729,Category_1,Before
South,1269,3280,April,2022,6192.134961637232,Category_2,Before
East,1260,2800,May,2023,5432.6592443697755,Category_3,Before
North,1468,2367,November,2023,2757.1868901824005,Category_1,Before
West,948,2572,February,2023,7502.069037353548,Category_3,Before
East,1334,1816,April,2023,3526.951261967702,Category_3,After
East,1703,1552,January,2022,1218.8436978830846,Category_3,After
West,1930,4600,February,2022,6809.25066316451,Category_2,After
North,1719,1855,January,2023,2593.9961146634405,Category_2,After
North,1989,2812,October,2022,9464.127259176228,Category_3,Before
East,810,3866,October,2022,9585.357193023287,Category_3,Before
North,761,4642,April,2023,9233.779511984038,Category_1,Before
South,1942,1182,April,2023,4331.428302298999,Category_1,After
West,905,4112,July,2023,1139.1095487598068,Category_2,Before
South,642,2574,October,2023,9354.867063289528,Category_2,After
North,841,1396,November,2023,4853.657334855829,Category_1,Before
East,1839,2727,November,2022,9699.893371393026,Category_3,Before
West,1624,3826,September,2023,9672.579793803276,Category_2,Before
North,743,2517,September,2023,8677.08509920624,Category_3,Before
North,989,4730,May,2023,3650.040028626271,Category_1,After
East,511,1906,October,2022,4465.879557417327,Category_2,After
East,1762,2356,January,2023,8660.230043651713,Category_2,Before
South,1060,3174,January,2023,3852.298046406499,Category_1,After
West,541,4629,June,2023,2525.4347201748324,Category_2,Before
West,1177,4628,February,2022,6011.211362125151,Category_1,Before
East,1093,1000,August,2023,9425.39296744703,Category_2,Before
South,1952,4239,September,2023,7264.268170074757,Category_1,Before
West,1681,4691,April,2023,6130.550530804285,Category_2,After
East,1739,1018,May,2022,1874.588443936917,Category_3,Before
North,1985,4403,November,2023,6535.065040292528,Category_3,Before
West,633,1583,August,2023,9910.48465093837,Category_3,After
South,1590,1455,March,2023,2260.7561371287165,Category_2,Before
South,1530,4004,May,2022,5664.96687127363,Category_2,After
South,1447,3036,March,2023,8896.357647351599,Category_3,Before
North,572,2132,December,2023,7666.91755978784,Category_3,Before
West,898,4339,October,2023,7273.141668957412,Category_1,Before
West,1928,3492,March,2022,7322.356755883983,Category_1,Before
North,1077,4311,March,2022,4235.420360977796,Category_1,Before
West,1358,2952,December,2023,3642.3265983804404,Category_3,Before
North,629,4372,July,2022,8284.250399306624,Category_3,After
North,1430,3649,July,2022,8291.020552112626,Category_3,Before
North,1989,3150,July,2022,8803.650867220933,Category_1,After
South,1729,1987,October,2023,9219.16497300824,Category_2,After
West,765,4321,August,2023,5602.08158974844,Category_3,Before
North,1292,4524,May,2022,5513.646652184796,Category_2,After
West,752,1519,May,2022,8184.656610700977,Category_2,Before
South,1321,4224,April,2022,6849.675376999887,Category_2,After
North,1812,1858,July,2023,7317.70189531933,Category_1,Before
East,663,1173,October,2023,8162.13402492491,Category_2,After
South,594,2366,April,2022,9010.048076358096,Category_3,After
East,1332,4741,February,2022,4041.956411663822,Category_1,Before
West,1633,4052,April,2022,4380.246573759496,Category_3,After
West,835,3478,August,2022,1845.8374585678212,Category_3,Before
South,1321,1726,September,2023,6204.5212689655655,Category_1,Before
West,737,4760,March,2022,1323.4804641706787,Category_3,Before
East,880,2710,July,2023,5190.382163192141,Category_3,Before
North,1959,2875,December,2022,5883.801712368189,Category_1,Before
North,1398,3897,September,2022,3578.8712691545597,Category_3,After
North,982,2681,November,2022,6317.499345121097,Category_2,After
South,1401,2347,April,2022,1274.5022494514449,Category_3,After
West,1548,1989,October,2022,1336.1336987429297,Category_2,Before
East,1640,4744,March,2023,8403.405045936925,Category_3,After
West,981,3686,May,2022,4241.7157727013655,Category_1,After
West,1915,1419,January,2022,2143.544613866963,Category_1,After
West,1416,1593,March,2022,5700.189340493239,Category_3,After
North,1493,3532,August,2023,7929.941977887497,Category_1,After
East,1463,4730,November,2023,2942.3892474715885,Category_3,Before
East,1036,2774,August,2023,6606.014282371002,Category_1,Before
West,1602,3459,April,2023,1768.127184943912,Category_2,After
North,1696,1935,February,2022,1465.1354905174694,Category_3,Before
North,1535,2107,August,2022,5782.191684113332,Category_2,Before
East,627,2136,August,2022,5865.716094490958,Category_2,After
North,591,4808,October,2023,6736.869113483859,Category_3,After
North,1042,1331,April,2022,7534.822003503954,Category_2,Before
North,1345,4449,March,2022,9782.668715162812,Category_3,After
South,1488,4826,February,2023,5646.703134710758,Category_2,Before
West,946,3702,September,2023,3906.6082564712137,Category_3,Before
East,889,3088,January,2023,8156.675752918333,Category_3,After
East,1171,2793,July,2022,3437.490261358668,Category_1,Before
South,542,1958,May,2022,4950.7427863507255,Category_3,Before
West,753,4868,August,2023,1706.1074320803937,Category_3,Before
East,1653,1104,April,2022,1228.1566907391175,Category_2,After
North,1583,1201,July,2023,9663.835732101326,Category_3,After
East,1162,3497,May,2023,8523.821084609852,Category_1,After
North,966,2842,May,2022,7263.767854843281,Category_2,After
South,786,2866,September,2023,4680.57649972843,Category_2,Before
North,1510,2996,September,2023,2559.648880637612,Category_1,After
East,1990,2289,September,2023,2407.9333840397744,Category_2,After
East,1277,1909,December,2022,3252.186083481358,Category_2,After
East,844,1209,June,2023,5943.039982355084,Category_2,After
South,1141,1562,June,2023,7431.363304300561,Category_2,Before
South,881,4189,May,2023,6941.776390459581,Category_1,Before
West,1189,3760,September,2023,3519.4050725134857,Category_1,Before
East,1776,4448,October,2023,9593.787525968746,Category_2,After
North,1579,4622,August,2023,7641.072250261916,Category_2,After
South,1986,2563,July,2023,5989.186472602606,Category_1,Before
East,956,1770,July,2022,6505.486716109171,Category_1,After
East,1482,4155,June,2022,4776.400561850109,Category_1,After
South,582,3501,May,2023,3229.5789055104174,Category_2,Before
West,1622,3714,April,2022,4203.754107861354,Category_2,Before
South,648,1628,March,2022,7820.614994179322,Category_3,After
South,1852,4585,March,2023,1129.5413976678028,Category_1,After
North,1679,2628,June,2022,2044.6537645622461,Category_2,After
North,689,2701,April,2023,1414.0237781957749,Category_1,Before
West,1382,1386,December,2023,1366.5592208707312,Category_2,Before
East,762,2935,December,2023,8699.145256099066,Category_1,Before
South,1603,4421,June,2023,7332.920734420213,Category_2,Before
West,899,3343,March,2023,5267.564461785927,Category_3,After
North,1263,3305,April,2022,1880.5074458590134,Category_3,Before
South,1108,2104,September,2023,5424.5428760514915,Category_1,Before
East,1783,1267,May,2022,5261.245937025091,Category_2,After
North,1284,3466,July,2023,2558.8168291901366,Category_2,After
North,600,3282,October,2023,4904.664843141758,Category_1,After
North,1882,2856,February,2023,4586.542609576361,Category_2,Before
West,1903,4382,May,2022,6542.650882469949,Category_1,After
East,1319,4884,September,2023,6715.842857808794,Category_2,After
South,1744,2998,November,2023,1407.7360879484006,Category_1,Before
West,1319,4033,March,2023,4371.513531638241,Category_2,Before
West,919,2380,September,2023,6632.739241428128,Category_1,After
West,623,2236,November,2022,5528.226327220789,Category_2,Before
North,921,1573,June,2023,8708.4085706949,Category_3,After
East,1754,1048,April,2022,6928.242684570505,Category_2,After
West,1586,2150,July,2023,2466.409843732867,Category_1,Before
South,1267,1222,August,2022,1635.1187266038687,Category_3,After
East,982,3968,June,2022,6781.773503856841,Category_2,Before
South,1018,4350,May,2023,1238.6017948745964,Category_3,Before
East,654,2431,June,2023,6271.98023146117,Category_2,Before
South,591,2528,May,2022,9462.072172824619,Category_3,After
North,1481,4365,August,2023,6179.26760088291,Category_1,Before
West,954,2819,January,2023,4493.529335858697,Category_2,Before
South,1097,3324,November,2023,6789.593965981178,Category_2,After
East,1009,2461,July,2022,5124.27601442365,Category_1,After
West,1706,2130,October,2023,5910.551103843414,Category_3,After
West,885,2681,October,2023,9473.183278988727,Category_1,After
East,904,3467,November,2023,4474.923740206968,Category_1,Before
South,745,3658,February,2022,9650.715074415228,Category_3,Before
North,1241,4500,September,2023,9148.155777604574,Category_1,Before
North,1160,1374,January,2022,2762.120213103668,Category_2,After
South,1149,3120,November,2023,1624.251707876489,Category_2,After
West,1994,3021,October,2022,1907.0020123968397,Category_2,Before
West,1946,4705,June,2023,1163.9964308639476,Category_1,After
West,1400,2053,September,2023,1849.9866468033556,Category_2,After
West,564,4259,January,2022,7147.0609607472115,Category_2,Before
South,1536,4435,April,2022,1640.6978361420609,Category_2,Before
West,712,2889,April,2022,3870.7806726438516,Category_2,After
East,741,2823,September,2023,8603.87779872509,Category_2,After
West,992,2474,November,2023,1209.4474216224328,Category_2,After
North,1736,3242,May,2023,8330.21634330042,Category_1,Before
West,837,2179,May,2023,3536.6929729605995,Category_2,Before
South,672,4243,June,2022,2063.4834485949063,Category_2,Before
North,1171,3894,January,2023,7270.634488277356,Category_3,Before
South,663,2064,January,2023,6660.4856210189555,Category_1,Before
South,964,4134,September,2023,8897.248121743476,Category_1,After
North,1494,3070,March,2023,7615.639394234972,Category_1,After
South,996,1359,April,2023,8231.328373463637,Category_1,After
South,1199,4146,January,2023,3538.3111531417585,Category_2,Before
West,894,3607,September,2023,2596.9558940175057,Category_2,Before
East,1202,3719,August,2022,7755.532764767725,Category_3,Before
South,807,3041,February,2023,8261.512653405376,Category_3,After
South,682,4896,August,2023,9914.546278006059,Category_1,Before
South,1128,2141,July,2023,4713.559092202839,Category_3,Before
West,1009,2635,November,2023,4348.162772135049,Category_3,After
East,1045,2403,June,2022,7987.716646677972,Category_1,Before
North,1123,2943,January,2022,4067.2318622771604,Category_1,After
West,1093,1678,July,2022,9376.815930432083,Category_3,Before
West,1243,4361,October,2022,8725.714766587105,Category_2,Before
East,1750,3487,July,2022,4860.946246375165,Category_3,After
East,1959,4739,September,2022,7757.839610123477,Category_3,After
West,1945,3980,January,2023,7790.885866762141,Category_2,After
North,1053,1006,February,2022,1928.1148195233936,Category_2,After
West,520,4267,November,2022,9122.9761601161,Category_1,After
East,1053,3468,September,2023,5547.271352030714,Category_1,After
North,896,2591,September,2022,8438.117194969675,Category_3,Before
East,1124,1832,June,2023,3880.4464092755056,Category_2,Before
North,604,4264,June,2023,9059.709056465805,Category_1,After
South,691,3606,April,2022,4502.815108607469,Category_3,Before
East,516,4219,April,2023,1097.5388633226853,Category_2,After
East,1643,2810,May,2022,9148.437787773373,Category_3,Before
West,892,4740,March,2022,1821.580091075202,Category_1,After
East,924,4273,January,2023,3873.8227383137337,Category_1,Before
East,628,4515,January,2023,9550.557703457243,Category_2,Before
South,1653,1913,December,2022,9555.464322438005,Category_3,Before
East,1071,3011,July,2023,6160.940993109575,Category_2,Before
South,528,2442,January,2023,6686.534909528194,Category_1,Before
South,1620,2450,January,2022,5036.009697804878,Category_1,After
South,1533,4054,March,2022,3638.896945282581,Category_3,After
South,741,2502,October,2023,3957.9809083292434,Category_3,After
North,731,4546,April,2022,7052.666104693346,Category_3,Before
West,1288,1125,April,2022,7771.37076493912,Category_2,After
North,1807,3442,February,2022,8124.211393532637,Category_3,Before
East,1214,1816,January,2022,8106.563285150985,Category_3,Before
North,1258,3928,March,2022,1820.8549274382133,Category_1,Before
North,1301,2829,November,2022,5449.782742323233,Category_1,After
East,1275,1575,April,2022,1518.0288401497985,Category_3,Before
East,1225,3372,March,2023,5945.75994091362,Category_3,After
East,699,2415,August,2022,4973.774512360393,Category_1,After
North,1444,1929,October,2023,8989.337644824698,Category_3,Before
North,578,4759,January,2023,4158.235112968709,Category_2,Before
East,1455,4699,February,2023,2053.603147848453,Category_2,After
West,1355,2463,July,2022,2286.9251384755225,Category_2,After
West,1696,4275,April,2022,7853.5956854572505,Category_3,After
South,966,4557,August,2023,6563.96256984635,Category_1,After
East,1080,1832,November,2022,1910.104085105112,Category_3,After
South,1939,2054,March,2023,1756.961255034977,Category_3,After
West,1439,4459,June,2022,7308.72218313208,Category_1,Before
South,948,2648,September,2022,1654.8670572777419,Category_1,After
East,586,2900,January,2023,8396.740533613207,Category_1,After
East,600,2457,January,2023,7356.180044408466,Category_2,After
East,1531,3884,August,2023,1732.139025777098,Category_3,After
North,1344,3973,March,2022,1763.5394267667273,Category_1,Before
South,1723,2399,May,2023,9879.75620651058,Category_3,Before
West,586,4415,January,2022,4368.437161805083,Category_2,After
West,542,1442,May,2022,4335.779323602019,Category_2,After
West,1908,4650,November,2022,8315.196105317522,Category_1,After
North,1958,3122,June,2023,9525.23719645473,Category_1,Before
North,907,1556,August,2023,9874.009574405838,Category_3,Before
East,1163,4843,March,2023,7780.4036673304745,Category_1,Before
West,1540,4737,March,2022,4386.336269778241,Category_3,Before
North,647,2178,December,2022,1751.5064502880189,Category_1,Before
East,776,4501,November,2023,7994.322243346931,Category_3,Before
West,731,3037,November,2022,6025.638247622245,Category_3,After
South,865,1362,October,2022,4817.998083222787,Category_3,Before
East,1751,3495,September,2023,9157.189465852623,Category_3,Before
North,935,2257,April,2023,2000.777340755362,Category_2,After
North,898,4634,April,2023,5433.625938617733,Category_3,Before
East,1734,2841,December,2022,1102.1828029067717,Category_1,After
East,1914,3309,July,2022,5217.945777947137,Category_2,Before
North,998,2850,February,2022,1506.7294811365362,Category_2,After
South,1039,3172,August,2022,2069.3612464126472,Category_3,After
West,1062,1910,June,2022,2057.736220993944,Category_2,After
South,941,1244,March,2023,6842.892719044572,Category_3,After
East,1784,1541,September,2022,7714.40391338881,Category_1,After
South,1272,3532,May,2022,6250.318885874437,Category_3,Before
North,849,3169,August,2022,9659.552936270877,Category_2,Before
East,1875,3172,July,2023,4373.835215713337,Category_1,After
West,1019,2572,August,2023,3571.4087765367467,Category_3,After
North,1843,3217,July,2023,8817.392153705143,Category_1,After
North,637,1123,March,2022,3012.3625466750736,Category_1,Before
West,1491,4940,February,2023,9669.002854965502,Category_2,After
West,867,4106,July,2023,1109.3902722083471,Category_1,After
South,1743,4158,March,2023,9728.90944036875,Category_2,After
East,1860,3693,March,2022,1388.439207555185,Category_1,After
West,1746,2731,February,2023,9020.28802328264,Category_3,Before
West,859,1785,April,2022,5749.309981776699,Category_1,After
East,1420,3043,August,2022,9936.683165073702,Category_3,After
West,828,3248,December,2023,1664.1690826185898,Category_3,Before
West,1461,3416,January,2022,5984.688559611887,Category_1,After
South,962,1796,January,2023,9723.722820571891,Category_3,After
North,1445,1076,December,2022,5707.880597531339,Category_1,Before
North,1462,1058,May,2023,6664.587743217363,Category_1,Before
North,1905,3478,November,2023,7261.738200861554,Category_3,Before
North,1335,3685,May,2023,5090.86958290996,Category_3,After
West,668,2523,November,2022,6648.022720756571,Category_2,After
East,716,2936,December,2023,6258.828807307902,Category_3,Before
East,877,3156,January,2022,9110.4220944189,Category_2,Before
South,618,4807,June,2023,1409.0174230731209,Category_3,Before
South,689,4055,January,2022,3528.668706330073,Category_1,After
West,1266,2301,May,2022,9553.703356689028,Category_3,After
